id_number,place,cat_place,age_category,sex,2.5km_seconds,5km_seconds,7.5km_seconds,total_seconds
19650,3538,958,23-34,M,813,1487,2152,2807
19651,31674,6853,35-44,M,4525,5619,6759,4877
19652,8517,1820,45-54,M,3622,4368,5111,3149
19653,1014,376,35-44,M,614,1219,1808,2476
19654,2398,666,23-34,M,707,1343,1981,2688
19655,650,125,45-54,M,578,1147,1709,2394
19656,981,362,35-44,M,681,1283,1853,2470
19657,21745,633,20-22,M,799,1586,2713,3890
19658,694,266,35-44,M,631,1204,1767,2409
19659,21241,4485,23-34,M,,5462,6358,3853
19660,22615,4687,23-34,M,2802,3755,4669,3951
19661,2904,1016,35-44,M,825,1491,2112,2746
19662,29061,5566,23-34,M,4825,5825,6768,4505
19663,31249,1966,55+,M,4160,5311,6441,4807
19664,3518,167,16-19,M,,,5518,2805
19665,16541,527,20-22,M,,5181,6025,3572
19666,31549,5480,45-54,M,4874,5963,7009,4856
19667,31177,6775,35-44,M,4927,6006,7047,4794
19668,15207,4007,35-44,M,1895,2729,3538,3509
19669,11917,678,55+,M,1899,2697,3477,3342
19670,23240,205,16-19,F,4111,5056,6005,3996
19671,9483,2314,23-34,M,856,1597,2341,3205
19672,4852,1033,45-54,M,886,1575,2250,2910
19673,2707,748,23-34,M,1787,2424,3060,2724
19675,1815,680,35-44,M,687,1309,1927,2620
19676,14349,3302,23-34,M,1012,1853,2677,3466
19677,15460,4052,35-44,M,,1958,2787,3521
19678,14076,3775,35-44,M,1872,2692,3508,3452
19680,23236,2047,23-34,F,4015,5002,5928,3995
19681,6184,1294,45-54,M,940,1654,2343,2994
19682,13727,3696,35-44,M,2807,3654,4467,3434
19683,1858,379,45-54,M,697,1326,1943,2626
19684,33006,6003,23-34,M,2174,3117,4691,5183
19685,2909,1018,35-44,M,791,1440,2076,2746
19686,15225,922,55+,M,951,1756,2564,3510
19687,4340,912,45-54,M,1654,2329,3017,2870
19688,2888,95,55+,M,792,1440,2077,2744
19689,14899,596,16-19,M,,,6121,3492
19690,1275,343,23-34,M,699,1315,1891,2530
19691,2939,97,55+,M,923,1578,2205,2750
19692,26597,6051,35-44,M,4583,5566,6589,4259
19693,22119,4207,45-54,M,3811,4736,5660,3916
19694,948,349,35-44,M,691,1264,1843,2464
19695,21325,4100,45-54,M,2855,3762,4613,3859
19696,8612,2161,23-34,M,1752,2486,3229,3155
19697,23284,4793,23-34,M,2870,3859,4798,3999
19698,10167,2177,45-54,M,,2586,3361,3250
19699,3644,1244,35-44,M,802,1476,2151,2817
19701,7317,1544,45-54,M,945,1672,2363,3067
19702,20465,4379,23-34,M,3029,3975,4801,3800
19703,29396,5208,45-54,M,4941,5994,6975,4543
19704,7174,265,20-22,M,3517,4240,4981,3059
19705,12779,3528,35-44,M,,5407,6189,3386
19706,3389,916,23-34,M,3503,4175,4840,2793
19707,22036,785,16-19,M,,4999,5988,3909
19708,12609,2640,45-54,M,3777,4571,5336,3377
19709,13124,3055,23-34,M,2976,3796,4572,3404
19710,15737,627,16-19,M,4247,5123,5926,3535
19711,24302,850,16-19,M,1486,2517,3442,4075
19712,30125,5706,23-34,M,5016,6040,7038,4635
19713,26788,5268,23-34,M,1199,2237,3229,4275
19714,8176,409,55+,M,900,1634,2344,3126
19715,5934,272,55+,M,849,1551,2250,2981
19716,32221,6927,35-44,M,,5817,6908,4986
19717,26606,6052,35-44,M,4583,5567,6589,4259
19718,33583,2135,55+,M,4666,6030,7218,5437
19719,23218,814,16-19,M,4581,5599,6499,3995
19720,19474,3784,45-54,M,,5769,6622,3739
19721,23578,5541,35-44,M,4783,5712,6571,4019
19722,16056,4184,35-44,M,1974,2818,3662,3549
19723,7219,2259,35-44,M,909,1618,2319,3061
19724,9813,529,55+,M,974,1758,2497,3227
19725,12429,3441,35-44,M,,2709,3501,3368
19727,26694,5255,23-34,M,,5629,6610,4266
19728,3442,1183,35-44,M,844,1516,2155,2798
19729,25925,1514,45-54,F,,5402,6394,4201
19730,18894,4141,23-34,M,4627,5488,6355,3703
19732,20266,3917,45-54,M,1043,1977,2859,3789
19733,8573,357,16-19,M,1739,2476,3232,3152
19738,957,351,35-44,M,609,1207,1783,2466
19740,27849,6256,35-44,M,4940,5916,6828,4374
19741,4359,1459,35-44,M,836,1541,2220,2871
19742,12258,2583,45-54,M,3701,4500,5282,3358
19743,17463,4463,35-44,M,1064,1953,2805,3618
19744,9780,2092,45-54,M,1739,2475,3232,3225
19746,20508,4996,35-44,M,933,1831,2711,3803
19747,32428,6955,35-44,M,1127,2395,3643,5027
19748,19806,4288,23-34,M,4005,4860,5767,3759
19749,2610,723,23-34,M,763,1387,2008,2714
19750,1511,563,35-44,M,642,1249,1856,2574
19751,16611,4307,35-44,M,1799,2537,3436,3575
19752,7800,1662,45-54,M,884,1623,2359,3101
19753,285,84,23-34,M,552,1104,1639,2256
19755,6534,1368,45-54,M,1684,2398,3128,3017
19756,6783,2146,35-44,M,885,1608,2308,3033
19759,3669,763,45-54,M,819,1493,2134,2818
19761,4797,1018,45-54,M,830,1507,2183,2906
19762,13738,804,55+,M,3623,4417,5239,3434
19763,22344,5341,35-44,M,4189,5122,6034,3930
19764,22701,4705,23-34,M,4155,5117,6010,3957
19765,30727,5757,23-34,M,,2031,3559,4732
19766,11911,3323,35-44,M,1933,2725,3509,3341
19767,28638,325,16-19,F,1229,2238,3302,4459
19769,11461,464,16-19,M,2714,3496,4279,3319
19770,6298,2012,35-44,M,949,1671,2379,3001
19771,34052,5749,45-54,M,4123,5621,7096,6004
19772,5851,1542,23-34,M,915,1643,2303,2975
19773,238,71,23-34,M,539,1084,1608,2233
19774,21701,1358,55+,M,1134,2106,3043,3886
19775,12441,2612,45-54,M,814,1623,2426,3368
19776,2504,76,55+,M,772,1412,2032,2701
19777,5014,1328,23-34,M,886,1573,2242,2922
19778,837,313,35-44,M,609,1192,1768,2445
19779,25581,5872,35-44,M,,5618,6544,4173
19780,1428,389,23-34,M,592,1203,1830,2557
19781,17322,3868,23-34,M,1301,2158,2982,3610
19782,22379,4240,45-54,M,4743,5668,6528,3933
19783,15184,4002,35-44,M,2017,2850,3667,3508
19784,20216,3906,45-54,M,1059,1971,2843,3786
19785,18978,582,20-22,M,2990,3889,4719,3708
19791,20582,3984,45-54,M,,5157,6081,3808
19792,16503,3726,23-34,M,1943,2808,3660,3570
19793,16479,3719,23-34,M,1944,2808,3660,3568
19794,14843,3405,23-34,M,1872,2722,3547,3489
19795,11330,2400,45-54,M,2705,3504,4261,3313
19796,15421,506,20-22,M,3858,4619,5448,3519
19797,2272,475,45-54,M,726,1359,1981,2674
19798,3398,160,16-19,M,3492,4159,4830,2794
19799,7332,310,16-19,M,2633,3376,4151,3068
19800,1075,296,23-34,M,634,1214,1795,2490
19801,29644,3160,23-34,F,4073,5230,6288,4572
19802,22042,4196,45-54,M,3682,4628,5582,3909
19803,7442,1573,45-54,M,,4821,5529,3076
19804,10243,2463,23-34,M,1843,2618,3386,3253
19805,13202,2743,45-54,M,4169,4986,5765,3407
19806,16521,4286,35-44,M,3710,4551,5416,3571
19807,20796,4012,45-54,M,2058,2959,3853,3823
19808,5895,1898,35-44,M,3501,4204,4923,2978
19809,10457,3025,35-44,M,1833,2603,3361,3266
19810,16929,3365,45-54,M,3751,4614,5472,3592
19811,16927,658,16-19,M,3752,4614,5471,3592
19812,16220,3674,23-34,M,,5017,5871,3557
19813,5024,1331,23-34,M,774,1464,2170,2923
19814,2820,779,23-34,M,1753,2392,3028,2736
19819,23088,656,20-22,M,953,1880,2783,3986
19821,12998,3025,23-34,M,,5262,6018,3398
19822,4518,953,45-54,M,837,1526,2184,2885
19824,11134,2651,23-34,M,951,1757,2537,3303
19825,1011,23,55+,M,780,1373,1938,2476
19826,2643,556,45-54,M,817,1476,2096,2716
19828,12924,3009,23-34,M,2753,3566,4346,3394
19829,17383,1058,55+,M,2006,2845,3699,3614
19830,7583,1936,23-34,M,3509,4275,5008,3085
19831,723,138,45-54,M,619,1194,1766,2418
19832,2744,125,16-19,M,,1536,2194,2728
19841,21871,4172,45-54,M,4817,5698,6565,3899
19843,9702,2076,45-54,M,817,1560,2324,3220
19844,11494,2431,45-54,M,3621,4400,5190,3321
19845,9429,2299,23-34,M,969,1744,2476,3201
19846,15619,3559,23-34,M,1959,2780,3607,3529
